Date,Q1,Q2,Q3,Q4,Q5
July 20 2011,GIS KR MKC SJM,EL HRL HSY K,KHC KMB MDLZ MNST,PEP PG PM SYY,TAP TSN WBA WMT
August 17 2011,MDLZ MNST K KMB,MKC TAP PEP KR,TSN GIS PG HSY,PM SJM EL HRL,KHC SYY WBA WMT
September 14 2011,MNST SYY WMT KMB,MDLZ MKC TAP K,SJM PEP TSN KR,HRL GIS EL HSY,PG PM KHC WBA
October 12 2011,MNST SYY WMT KMB,MDLZ MKC TAP K,SJM PEP GIS KR,TSN HRL EL HSY,PG PM KHC WBA
November 09 2011,MDLZ MNST WMT KMB,MKC SJM EL K,PG GIS KR SYY,TAP PEP TSN HRL,PM HSY KHC WBA
December 07 2011,MDLZ MNST WMT KMB,MKC SJM EL K,PG GIS SYY KR,TAP PEP HRL HSY,TSN PM KHC WBA
January 04 2012,MNST HRL WMT KMB,MDLZ SJM EL K,MKC PG KR SYY,TAP PEP GIS HSY,TSN PM KHC WBA
February 01 2012,MNST HRL WMT KMB,MDLZ SJM EL K,PG TAP SYY KR,PEP GIS MKC HSY,TSN PM KHC WBA
February 29 2012,EL MNST WMT HRL,SJM K SYY KMB,PG KR TSN GIS,PEP MDLZ TAP HSY,PM MKC KHC WBA
March 28 2012,SJM EL MNST SYY,PG MDLZ TSN GIS,PEP TAP KMB K,KR PM HSY MKC,WMT HRL KHC WBA
April 25 2012,SJM EL MNST SYY,PG MKC TSN GIS,MDLZ TAP KMB K,PEP KR PM HSY,WMT HRL KHC WBA
May 23 2012,SJM MDLZ SYY K,PEP PG MKC KMB,TAP TSN GIS HSY,KR PM WMT EL,HRL KHC MNST WBA
June 20 2012,SJM HRL WMT K,MDLZ PG SYY KMB,TAP PEP MKC TSN,PM EL GIS HSY,KR KHC MNST WBA
July 18 2012,HRL WMT SJM K,MDLZ PG SYY KMB,TAP KR PEP MKC,EL TSN PM HSY,GIS KHC MNST WBA
August 15 2012,WMT PG SJM MNST,HRL K SYY MDLZ,TAP PEP KR KMB,MKC EL TSN HSY,PM GIS KHC WBA
September 12 2012,SJM SYY PG MNST,K MDLZ TAP KMB,WMT PEP KR MKC,EL TSN HSY PM,GIS HRL KHC WBA
October 10 2012,SJM SYY PG MNST,K MDLZ TAP KMB,WMT PEP KR MKC,EL TSN HSY GIS,PM HRL KHC WBA
November 07 2012,SJM PG MNST K,TAP PEP MDLZ SYY,WMT KR MKC KMB,EL TSN HSY GIS,PM HRL KHC WBA
December 05 2012,SJM MNST PG K,TAP MDLZ HSY SYY,PEP WMT KR MKC,KMB EL PM GIS,TSN HRL KHC WBA
January 02 2013,SJM MNST PG K,TAP MDLZ HSY SYY,PEP WMT KR MKC,HRL EL KMB GIS,PM TSN KHC WBA
January 30 2013,SJM MNST K HSY,TAP MDLZ PG SYY,PEP WMT KR KMB,EL HRL MKC GIS,PM TSN KHC WBA
February 27 2013,SJM MNST K PG,SYY WMT EL KR,MDLZ TSN HRL GIS,TAP HSY MKC PM,PEP KMB KHC WBA
March 27 2013,SJM SYY K PG,EL WMT KR TSN,MDLZ HSY GIS MKC,TAP MNST PM HRL,PEP KMB KHC WBA
April 24 2013,SJM SYY K PG,PEP MKC EL TSN,MDLZ WMT HSY GIS,TAP MNST PM HRL,KR KHC KMB WBA
May 22 2013,MDLZ MNST HSY SJM,SYY MKC PG K,TAP PEP TSN EL,WMT KMB GIS HRL,KR PM KHC WBA
June 19 2013,HRL MDLZ MNST HSY,SYY SJM MKC K,TAP PEP TSN PG,WMT EL GIS KMB,KR PM KHC WBA
July 17 2013,HRL MDLZ MNST SJM,SYY HSY K KR,TAP PEP PG MKC,WMT TSN EL KMB,PM GIS KHC WBA
August 14 2013,HRL MDLZ MNST SJM,SYY K KMB KR,PEP TSN HSY MKC,TAP PG WMT EL,GIS KHC PM WBA
September 11 2013,MDLZ MNST KMB SJM,K HSY KR MKC,TAP PEP WMT TSN,PG SYY EL HRL,GIS KHC PM WBA
October 09 2013,MDLZ MNST KMB SJM,K PEP KR HSY,TAP WMT TSN SYY,PG EL MKC GIS,HRL PM KHC WBA
November 06 2013,HSY MDLZ MNST SJM,PG K SYY KR,TAP PEP TSN KMB,WMT EL MKC GIS,HRL PM KHC WBA
December 04 2013,HSY MNST MDLZ SJM,PG K SYY KR,TAP EL PEP KMB,WMT MKC HRL GIS,PM KHC TSN WBA
January 01 2014,HSY MNST MDLZ SJM,PG K SYY KR,TAP EL PEP KMB,WMT MKC HRL GIS,PM KHC TSN WBA
January 29 2014,HSY MDLZ MNST SJM,K SYY KR PG,TAP PEP EL KMB,WMT MKC HRL GIS,PM KHC TSN WBA
February 26 2014,EL MNST PEP MDLZ,K SJM SYY PG,WMT TSN KR HRL,TAP MKC KMB GIS,HSY KHC PM WBA
March 26 2014,EL HRL K PEP,SJM PG SYY KR,TSN TAP MKC KMB,MNST MDLZ HSY GIS,WMT KHC PM WBA
April 23 2014,EL HRL K SYY,PEP SJM PG KMB,TSN TAP KR MKC,MDLZ MNST HSY GIS,WMT KHC PM WBA
May 21 2014,HRL HSY SYY MNST,SJM MDLZ K KMB,PEP TAP EL PG,KR MKC TSN GIS,WMT KHC PM WBA
June 18 2014,HSY SYY SJM MNST,TAP MDLZ K KMB,PEP WMT EL PG,KR GIS MKC TSN,HRL KHC PM WBA
July 16 2014,HSY SYY K MNST,TAP MDLZ KR KMB,PEP WMT EL PG,GIS MKC SJM TSN,HRL KHC PM WBA
August 13 2014,HSY MNST SYY KMB,MDLZ K KR TSN,PEP TAP WMT EL,PG GIS MKC SJM,HRL KHC PM WBA
September 10 2014,HRL HSY MNST KMB,MDLZ K SJM KR,PEP TAP TSN SYY,WMT EL MKC GIS,PG KHC PM WBA
October 08 2014,HRL HSY MNST KMB,MDLZ K SJM KR,PEP TAP TSN SYY,WMT EL MKC GIS,PG KHC PM WBA
November 05 2014,EL HRL MNST K,MDLZ SYY SJM PG,KR TSN HSY KMB,PEP TAP WMT MKC,GIS KHC PM WBA
December 03 2014,SJM EL HRL MNST,MDLZ K SYY PG,TAP KR HSY KMB,PEP TSN WMT MKC,GIS KHC PM WBA
December 31 2014,SJM EL K MNST,MDLZ SYY PG KMB,PEP TAP KR HSY,TSN WMT MKC HRL,GIS KHC PM WBA
January 28 2015,SJM EL K MNST,MDLZ SYY PG KMB,PEP TAP KR HSY,TSN WMT MKC HRL,GIS KHC PM WBA
February 25 2015,SJM EL SYY PEP,K MNST TSN PG,WMT KR GIS HRL,KMB TAP HSY MDLZ,MKC KHC PM WBA
March 25 2015,SJM EL K SYY,HRL TSN PEP PG,WMT KR KMB MNST,TAP GIS HSY MDLZ,MKC KHC PM WBA
April 22 2015,SJM EL K SYY,HRL TSN PEP PG,WMT MNST GIS KMB,MDLZ TAP KR HSY,MKC KHC PM WBA
May 20 2015,SJM HRL HSY MNST,SYY MDLZ K PG,TAP PEP TSN KMB,KR WMT GIS MKC,PM EL KHC WBA
June 17 2015,SJM K HSY MNST,MDLZ SYY TSN PG,TAP PEP WMT KMB,KR GIS PM MKC,HRL EL KHC WBA
July 15 2015,KR K HSY MNST,MDLZ SYY PG MKC,TAP TSN PEP WMT,SJM GIS PM KMB,HRL EL KHC WBA
August 12 2015,MNST TSN KR HSY,K SYY MDLZ MKC,TAP WMT PEP KMB,PG SJM GIS HRL,PM EL KHC WBA
September 09 2015,SJM MNST KR HSY,K MDLZ TSN MKC,TAP HRL PEP SYY,PG WMT EL KMB,GIS PM KHC WBA
