Date,Q1,Q2,Q3,Q4,Q5
July 20 2011,GIS KR MKC SJM,EL HRL HSY K,KHC KMB MDLZ MNST,PEP PG PM SYY,TAP TSN WBA WMT
August 17 2011,MDLZ MNST MKC TAP,K KMB PEP KR,TSN GIS PG PM,HSY SJM EL HRL,KHC SYY WBA WMT
September 14 2011,MNST SYY WMT MDLZ,MKC TAP SJM PEP,KMB K TSN KR,HRL GIS EL PG,HSY PM KHC WBA
October 12 2011,MNST SYY WMT MDLZ,MKC TAP SJM PEP,KMB K GIS TSN,KR HRL EL PG,HSY PM KHC WBA
November 09 2011,MDLZ MNST WMT TAP,MKC SJM PG PEP,KMB EL K GIS,KR SYY TSN HRL,PM HSY KHC WBA
December 07 2011,MDLZ MNST WMT TAP,MKC SJM PG PEP,KMB EL K GIS,SYY KR HRL TSN,HSY PM KHC WBA
January 04 2012,MNST HRL WMT MDLZ,SJM MKC PG TAP,KMB EL K PEP,KR SYY GIS TSN,HSY PM KHC WBA
February 01 2012,MNST HRL WMT MDLZ,SJM PG TAP PEP,KMB EL K SYY,KR GIS MKC TSN,HSY PM KHC WBA
February 29 2012,EL MNST WMT HRL,SJM K SYY PG,KMB PEP MDLZ TAP,KR TSN HSY PM,GIS MKC KHC WBA
March 28 2012,SJM EL MNST SYY,PG MDLZ PEP TAP,TSN KMB K KR,PM HSY WMT HRL,GIS MKC KHC WBA
April 25 2012,SJM EL MNST SYY,PG MKC MDLZ PEP,TSN TAP KMB KR,K PM HSY WMT,GIS HRL KHC WBA
May 23 2012,SJM MDLZ SYY TAP,K PEP PG MKC,KMB KR PM WMT,TSN GIS EL HRL,HSY KHC MNST WBA
June 20 2012,SJM HRL WMT TAP,K MDLZ PG SYY,KMB PEP MKC PM,TSN EL GIS KR,HSY KHC MNST WBA
July 18 2012,HRL WMT SJM TAP,K MDLZ PG SYY,KMB KR PEP MKC,EL TSN PM GIS,HSY KHC MNST WBA
August 15 2012,WMT PG SJM MNST,HRL K SYY TAP,MDLZ PEP KR MKC,KMB EL TSN PM,HSY GIS KHC WBA
September 12 2012,SJM SYY PG MNST,K MDLZ TAP WMT,PEP KR MKC EL,KMB TSN HSY PM,GIS HRL KHC WBA
October 10 2012,SJM SYY PG MNST,K MDLZ TAP WMT,PEP KR MKC EL,KMB TSN HSY PM,GIS HRL KHC WBA
November 07 2012,SJM PG MNST TAP,K PEP MDLZ WMT,SYY KR MKC EL,KMB TSN HSY PM,GIS HRL KHC WBA
December 05 2012,SJM MNST PG TAP,K MDLZ PEP WMT,HSY SYY KR MKC,KMB EL PM TSN,GIS HRL KHC WBA
January 02 2013,SJM MNST PG TAP,K MDLZ PEP WMT,HSY SYY KR MKC,HRL EL KMB PM,GIS TSN KHC WBA
January 30 2013,SJM MNST K TAP,HSY MDLZ PEP WMT,PG SYY KR EL,KMB HRL MKC PM,GIS TSN KHC WBA
February 27 2013,SJM MNST K SYY,WMT EL MDLZ TAP,PG KR TSN HSY,HRL MKC PM PEP,GIS KMB KHC WBA
March 27 2013,SJM SYY K MDLZ,PG EL WMT TAP,KR TSN HSY MNST,GIS MKC PM PEP,HRL KMB KHC WBA
April 24 2013,SJM SYY K PEP,MKC MDLZ WMT TAP,PG EL HSY MNST,TSN GIS PM KR,HRL KHC KMB WBA
May 22 2013,MDLZ MNST SYY TAP,HSY SJM MKC PEP,PG K TSN WMT,EL KMB KR PM,GIS HRL KHC WBA
June 19 2013,HRL MDLZ MNST SYY,HSY SJM TAP PEP,MKC K TSN WMT,PG EL KR PM,GIS KMB KHC WBA
July 17 2013,HRL MDLZ MNST SYY,HSY TAP PEP WMT,K PG TSN EL,SJM KR MKC PM,KMB GIS KHC WBA
August 14 2013,HRL MDLZ MNST SYY,K KMB PEP TAP,TSN HSY PG WMT,SJM KR MKC EL,GIS KHC PM WBA
September 11 2013,MDLZ MNST K TAP,KMB PEP WMT PG,SJM HSY TSN SYY,KR MKC EL HRL,GIS KHC PM WBA
October 09 2013,MDLZ MNST K TAP,KMB PEP WMT PG,SJM KR HSY TSN,SYY EL HRL PM,MKC GIS KHC WBA
November 06 2013,HSY MDLZ MNST PG,SJM K TAP WMT,SYY KR PEP TSN,KMB EL HRL PM,MKC GIS KHC WBA
December 04 2013,HSY MNST MDLZ PG,SJM K TAP WMT,SYY KR EL PEP,KMB MKC HRL PM,GIS KHC TSN WBA
