,cik , ticker , date , year , quarter , text,cosine_similarity,jaccard_similarity
0,511143, IBM , 2017-07-25 ,2017,2," Except for the historical information and discussions contained herein, statements contained in this Form 10-Q may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in the economic environment and client spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; cybersecurity and data privacy considerations; fluctuations in financial results; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers; product quality issues; impacts of business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels and ecosystems; the company’s ability to successfully manage acquisitions, alliances and dispositions; risks from legal proceedings; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Qs, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein or herein by reference. The company assumes no obligation to update or revise any forward-looking statements.",0.909603128765,0.647540983607
1,511143, IBM , 2016-07-26 ,2016,2," Except for the historical information and discussions contained herein, statements contained in this Form 10-Q may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in the economic environment and client spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; cybersecurity and data privacy considerations; fluctuations in financial results; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers; product quality issues; impacts of business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels and ecosystems; the company’s ability to successfully manage acquisitions, alliances and dispositions; risks from legal proceedings; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Qs, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein or herein by reference. The company assumes no obligation to update or revise any forward-looking statements.",0.927430716517,0.661290322581
2,511143, IBM , 2015-07-28 ,2015,2," Except for the historical information and discussions contained herein, statements contained in this Form 10-Q may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in the economic environment and client spending budgets; the company's failure to meet growth and productivity objectives; a failure of the company's innovation initiatives; risks from investing in growth opportunities; failure of the company's intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; cybersecurity and data privacy considerations; fluctuations in financial results; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company's pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers and business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions, alliances and dispositions; risks from legal proceedings; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Qs, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein or herein by reference. The company assumes no obligation to update or revise any forward-looking statements.",0.888948752773,0.709302325581
3,511143, IBM , 2014-07-29 ,2014,2," Except for the historical information and discussions contained herein, statements contained in this Form 10-Q may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in the economic environment and client spending budgets; the company's failure to meet growth and productivity objectives; a failure of the company's innovation initiatives; risks from investing in growth opportunities; failure of the company's intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; cybersecurity and data privacy considerations; fluctuations in financial results; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company's pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers and business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions, alliances and dispositions; risks from legal proceedings; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Qs, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein or herein by reference. The company assumes no obligation to update or revise any forward-looking statements.",0.971590909091,0.938461538462
4,511143, IBM , 2013-07-31 ,2013,2," Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in economic environment and corporate IT spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; cybersecurity and data privacy considerations; fluctuations in financial results and purchases; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers and business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions and alliances; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Qs, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein or herein by reference. The company assumes no obligation to update or revise any forward-looking statements.",0.604015905874,0.272300469484
5,511143, IBM , 2012-07-31 ,2012,2," Except for the historical information and discussions contained herein, statements contained in this release may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in economic environment and corporate IT spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; cybersecurity and data privacy considerations; fluctuations in financial results and purchases; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers and business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions and alliances; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Q, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein by reference.  The company assumes no obligation to update or revise any forward-looking statements.",0.870875534403,0.129136400323
6,511143, IBM , 2011-07-26 ,2011,2," Except for the historical information and discussions contained herein, statements contained in this release may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in economic environment and corporate IT spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; breaches of data security; fluctuations in financial results and purchases; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impacts of relationships with critical suppliers and business with government clients; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions and alliances; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Q, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein by reference.  The company assumes no obligation to update or revise any forward-looking statements.",0.997604691652,0.845714285714
7,511143, IBM , 2010-07-27 ,2010,2," Except for the historical information and discussions contained herein, statements contained in this release may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. Forward-looking statements are based on the company’s current assumptions regarding future business and financial performance. These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in the economic environment and corporate IT spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; breaches of data security; fluctuations in revenues and purchases; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; the company’s ability to attract and retain key personnel and its reliance on critical skills; impact of relationships with critical suppliers; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions and alliances; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Q, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein by reference. Any forward-looking statement in this Form 10-Q speaks only as of the date on which it is made. The company assumes no obligation to update or revise any forward-looking statements.",0.996986038742,0.86684303351
8,511143, IBM , 2009-07-28 ,2009,2," Except for the historical information and discussions contained herein, statements contained in this release may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995.  These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the following: a downturn in the economic environment and corporate IT spending budgets; the company’s failure to meet growth and productivity objectives; a failure of the company’s innovation initiatives; risks from investing in growth opportunities; failure of the company’s intellectual property portfolio to prevent competitive offerings and the failure of the company to obtain necessary licenses; breaches of data protection; fluctuations in revenues and purchases; impact of local legal, economic, political and health conditions; adverse effects from environmental matters, tax matters and the company’s pension plans; ineffective internal controls; the company’s use of accounting estimates; competitive conditions; the company’s ability to attract and retain key personnel and its reliance on critical skills; impact of relationships with critical suppliers; currency fluctuations and customer financing risks; impact of changes in market liquidity conditions and customer credit risk on receivables; reliance on third party distribution channels; the company’s ability to successfully manage acquisitions and alliances; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Q, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein by reference.  The company assumes no obligation to update or revise any forward-looking statements.",0.996005591581,0.876288659794
9,511143, IBM , 2008-07-29 ,2008,2," Except for the historical information and discussions contained herein, statements contained in this release may constitute forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995.  These statements involve a number of risks, uncertainties and other factors that could cause actual results to differ materially, including the company’s failure to continue to develop and market new and innovative products and services and to keep pace with technological change; competitive pressures; failure to obtain or protect intellectual property rights; breaches of the company’s data security measures; changes in the economic environment and corporate IT spending budgets; fluctuations in revenues and purchases, and volatility of stock prices; the company’s ability to attract and retain key personnel and its reliance on critical skills; adverse affects from tax matters; environmental matters; currency fluctuations and customer financing risks; customer credit risk on receivables; risks from investing in growth opportunities; the company’s failure to maintain the adequacy of its internal controls; the company’s use of certain estimates and assumptions; dependence on certain suppliers; changes in the financial or business condition of the company’s distributors or resellers; the company’s ability to successfully manage acquisitions and alliances; failure to have sufficient insurance; legal, political, health and economic conditions; risk factors related to IBM securities; and other risks, uncertainties and factors discussed in the company’s Form 10-Q, Form 10-K and in the company’s other filings with the U.S. Securities and Exchange Commission (SEC) or in materials incorporated therein by reference. The company assumes no obligation to update or revise any forward-looking statements.",0.622012901869,0.109359605911
